fno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
147,2,1,1,0,3,4,2,0,0,0,1,1,1,3,2,4,1,4,3,4,0
148,4,3,3,1,4,8,4,4,1,2,4,4,4,3,2,6,4,7,5,5,2
149,0,0,1,0,0,1,0,1,1,1,0,1,2,0,2,1,1,1,0,2,2
150,6,1,1,2,2,1,1,1,3,1,1,1,3,1,2,2,0,3,5,0,2
151,1,3,1,0,1,2,2,3,1,1,2,1,0,1,1,0,0,1,0,2,3
152,0,0,1,1,0,1,1,2,0,0,1,1,0,1,1,0,0,0,0,0,2
153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
154,0,2,0,2,1,1,2,1,3,0,7,1,1,1,0,1,1,0,0,0,1
155,0,4,3,7,1,0,2,6,1,4,2,1,4,2,0,2,3,1,1,1,1
156,0,0,0,1,2,2,0,3,2,2,2,4,0,2,1,0,2,2,1,3,2
157,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
158,2,3,1,2,2,0,0,2,1,1,0,2,1,4,1,1,2,1,2,1,1
159,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,3,1,0,0,0,1
160,3,2,2,7,3,2,3,3,5,0,2,5,2,3,1,4,2,1,0,4,2
161,1,1,0,0,0,1,0,0,0,1,0,0,3,0,1,1,0,3,0,0,1
162,0,1,0,1,4,2,1,0,0,1,1,3,4,3,1,0,2,2,1,2,2
163,4,4,4,2,2,5,0,7,4,4,1,4,4,4,0,3,3,6,4,3,5
164,3,3,3,1,1,2,0,4,2,1,1,0,2,2,0,1,0,3,3,1,4
165,2,1,2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,2,3,0,3
166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168,0,1,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,1,1,1,0
169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
171,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
173,2,1,3,1,1,0,0,1,0,1,1,2,2,0,4,2,1,1,0,4,1
174,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,4,3,3,1,6,5,0,5,2,2,2,1,4,3,4,4,2,5,3,3,2
176,2,2,6,2,5,2,7,4,2,5,5,1,7,0,2,4,6,3,1,4,4
177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,0,1,0,0,0,3,0,1,0,2,1,1,0,0,0,0,2,1,3,0,1
179,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0
180,0,1,1,1,1,1,2,3,0,0,0,1,1,1,0,0,1,2,2,4,0
181,1,1,1,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,3
182,2,0,0,1,2,0,1,3,0,2,1,0,0,0,0,3,0,2,1,0,1
183,2,2,1,2,1,1,2,2,1,1,2,4,2,2,0,2,3,0,6,4,1
184,2,5,3,6,1,4,3,3,3,6,4,4,1,2,2,3,0,5,0,3,3
185,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
186,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
187,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0
188,3,0,2,1,1,2,3,0,0,0,1,1,1,1,0,2,0,0,1,2,2
189,5,4,0,3,1,3,3,0,1,1,2,0,2,2,1,2,5,4,5,2,6
190,8,3,7,3,3,4,5,5,5,1,4,8,2,1,3,2,4,3,8,4,4
191,0,0,1,1,3,1,0,1,0,1,1,0,1,0,2,1,0,3,1,0,2
192,8,3,7,3,3,4,5,5,5,1,4,8,2,1,3,2,4,3,7,4,4
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
195,2,1,2,0,2,4,2,0,0,0,1,1,1,3,2,4,1,2,4,2,0
196,3,3,2,3,2,1,2,2,1,1,3,4,2,2,0,2,3,0,7,4,1
197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,0,0,2,0,2,2,2,5,0,1,0,0,2,0,0,2,0,1,1,0,1
200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
202,6,4,5,4,7,2,7,4,7,7,6,7,8,2,3,3,6,4,0,10,7
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
204,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
206,0,2,2,0,0,3,3,2,1,3,1,1,3,0,2,0,2,1,0,0,2
207,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,3,1,3,2,8,1,5,2,1,3,3,1,3,0,2,3,3,4,1,1,5
210,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0
211,0,0,0,1,3,0,0,0,0,1,1,0,0,0,2,1,0,2,0,0,1
212,2,1,4,2,2,2,4,2,2,2,3,3,0,2,3,5,1,3,1,2,1
213,6,2,2,5,4,1,4,4,1,6,7,5,3,6,2,5,2,4,6,4,4
214,6,8,1,3,2,1,4,0,2,6,2,4,3,3,2,2,3,6,1,2,4
215,0,1,0,0,0,0,3,0,2,1,0,0,0,0,1,0,1,0,0,0,0
216,1,5,2,3,2,3,3,3,3,4,3,1,2,4,3,2,2,2,3,4,0
217,1,2,2,3,2,5,2,2,1,3,1,3,1,1,1,2,1,1,4,4,4
218,2,4,3,0,4,5,3,2,1,5,3,4,2,1,1,1,3,5,5,5,5
219,7,6,9,16,4,4,7,1,7,7,11,8,3,4,5,2,6,10,5,8,9
220,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1
221,6,5,5,10,3,3,6,2,5,4,8,6,3,4,4,2,7,5,4,6,7
222,0,0,0,0,1,0,2,2,1,2,0,1,2,1,1,1,0,1,1,1,1
223,0,1,0,0,2,1,1,2,1,4,1,0,2,1,0,3,0,1,0,1,1
224,4,1,5,2,1,4,8,3,1,7,1,2,0,2,4,2,2,5,1,1,1
225,1,4,4,4,2,2,4,3,2,2,1,7,1,2,2,7,7,8,3,1,2
226,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
228,4,8,6,7,3,5,4,8,6,2,4,4,3,4,3,4,8,7,5,3,4
229,5,9,7,9,3,7,4,8,6,2,4,6,4,4,3,4,8,7,6,3,7
230,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
232,1,4,4,4,2,2,4,3,2,2,1,7,1,2,2,7,7,8,3,1,2
233,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234,3,1,3,2,3,7,3,2,0,2,4,4,3,2,2,2,2,4,5,3,1
235,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1
239,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240,4,1,2,2,2,2,2,2,5,0,0,4,0,2,1,4,1,1,0,2,2
241,1,0,1,0,2,2,2,0,0,0,1,1,1,2,1,3,1,1,1,2,0
242,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
244,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
245,4,4,2,1,5,6,2,3,2,5,7,1,5,5,2,3,2,2,4,6,1
246,2,1,3,1,2,1,5,3,3,2,0,3,0,3,3,2,0,5,2,2,1
247,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
248,1,2,4,0,0,3,2,2,4,3,1,3,0,0,0,1,0,3,2,1,4
249,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0
250,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
252,0,1,1,3,1,1,1,3,1,0,1,1,5,2,2,2,2,0,0,0,2
253,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
254,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
255,2,3,0,1,2,1,1,1,2,0,4,3,1,0,2,1,1,1,1,2,0
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
257,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,2,0,1,0,0
258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,1,3,4,2,6,2,2,1,0,2,1,1,3,4,0,3,4,0,2,1,4
260,0,2,1,0,1,1,1,1,0,2,2,0,1,3,0,1,1,0,0,0,1
261,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,1,4,1,5,0,2,0,0,1,4,3,1,2,0,0,2,0,1
264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
266,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
268,1,3,3,2,4,4,2,3,2,7,4,0,5,1,2,2,1,5,0,3,3
269,6,8,7,8,12,9,12,8,12,6,12,8,4,8,11,11,7,7,5,10,9
270,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
271,2,4,2,0,2,4,3,2,2,0,4,1,2,1,2,0,1,5,5,2,0
272,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
274,1,1,0,1,3,0,3,1,0,0,1,0,0,1,2,1,4,1,1,2,2
275,1,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,2,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,3,1,1,2,2,3,3,0,0,0,1,2,1,2,2,3,1,2,4,2,2
278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
279,5,7,3,1,2,2,2,2,2,2,3,3,4,6,6,2,2,5,5,5,3
280,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
281,1,1,3,1,1,2,5,1,1,4,0,1,0,2,3,2,2,3,1,1,1
282,0,0,0,0,3,0,0,0,0,1,1,0,0,0,2,1,0,2,0,0,1
283,3,2,1,3,3,0,2,1,2,5,4,2,2,0,1,2,2,1,0,4,2
284,0,1,3,2,5,1,1,0,2,3,1,3,6,1,2,0,4,1,2,1,2
285,7,5,8,1,3,1,4,0,4,1,6,1,2,3,1,4,3,4,3,4,5
286,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0,1
287,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
288,1,3,6,1,3,0,2,2,2,2,6,4,0,0,2,3,5,2,3,2,2
289,2,2,4,2,0,1,1,4,4,3,0,1,4,3,1,0,1,1,1,4,2
290,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
291,1,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,1
292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
293,3,1,3,7,1,1,3,3,3,0,2,2,2,2,5,3,2,2,3,3,4
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
296,1,1,3,1,1,2,5,1,1,4,0,1,0,1,3,1,2,3,1,1,1
