lno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
202,1,1,2,2,3,1,1,2,1,1,0,1,1,2,0,0,3,0,2,1,2
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2,2,1,0,0,2,3,1,3,1,1,1,0,1,2,1,1,1,1,1,2
205,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
207,4,3,2,2,1,6,6,3,3,3,3,4,2,2,5,3,2,3,2,2,5
208,5,0,5,7,0,3,0,8,4,4,6,2,5,4,1,4,4,3,5,2,3
209,1,1,0,0,0,0,2,2,1,0,0,1,2,0,0,4,0,2,0,2,2
210,2,4,3,1,2,3,1,4,3,2,1,1,2,4,3,1,3,1,2,3,1
211,6,5,7,6,8,7,3,8,6,8,7,3,8,9,10,4,13,8,9,4,11
212,0,0,2,2,2,0,0,1,3,1,1,1,0,2,1,0,0,0,1,2,1
213,0,2,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,0,1,2
214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,3,1,4,4,4,2,5,2,3,2,4,4,4,1,2,6,4,8,3,3,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
221,3,4,0,2,1,1,2,4,2,0,0,3,4,1,1,4,1,3,1,1,3
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
223,3,9,0,0,4,2,2,2,4,4,3,3,8,5,3,2,5,2,0,0,3
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,1,0,0,2,1,2,1,0,0,0,0,2,1,0,1,1,0,3,0,0
226,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
227,1,1,0,2,1,2,0,1,1,0,1,2,2,0,1,2,2,1,1,2,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230,2,5,5,8,1,6,10,4,8,6,3,1,3,5,4,7,3,7,5,6,6
231,2,2,1,0,4,0,1,1,1,1,0,0,1,0,4,1,1,0,0,1,1
232,7,5,4,5,5,4,6,3,6,5,7,4,6,2,3,2,5,2,9,9,8
233,0,2,0,3,3,1,2,0,2,1,0,0,0,0,0,1,2,0,0,1,1
234,2,5,0,4,3,1,4,1,2,4,2,4,3,3,3,0,0,2,0,7,1
235,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,5,0,4,2,5,0,1,0,7,2,3,2,3,2,3,2,5,1,4,6,2
238,3,5,4,3,2,5,4,2,5,1,4,3,4,5,5,6,3,3,4,2,6
239,3,6,5,3,4,5,7,4,8,3,4,3,4,9,6,10,5,4,4,4,9
240,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0
242,2,2,0,0,1,1,0,0,3,1,0,2,0,0,0,1,0,2,1,1,1
243,2,2,1,0,2,2,2,2,2,3,1,1,1,1,3,1,2,0,0,1,7
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,7,4,3,0,5,3,1,2,5,2,7,2,1,4,3,5,3,5,3,3,2
247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,1,0,3,2,1,1,0,1,2,1,0,2,0,3,0,0,2,0,0,1,1
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,4,3,2,1,2,6,4,3,4,7,2,3,3,2,2,2,6,3,2,1
251,2,0,0,1,2,0,1,0,4,1,3,0,0,0,1,0,2,0,1,1,2
252,6,2,6,2,6,5,3,5,4,4,2,5,5,2,5,3,6,1,2,4,2
253,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
254,2,1,2,1,1,0,2,0,1,1,1,2,1,2,1,2,1,0,1,0,1
255,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0
256,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
257,0,0,0,1,1,0,1,0,1,2,1,0,1,1,2,1,1,1,1,1,2
258,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
259,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
260,1,1,1,0,2,4,4,1,6,3,4,3,3,2,1,2,2,1,5,2,4
261,9,6,8,2,10,6,10,9,7,8,5,4,6,5,5,4,8,4,6,5,5
262,2,2,2,2,0,0,3,1,0,0,1,2,1,0,4,0,4,0,2,2,2
263,2,3,2,4,3,4,4,2,3,2,4,1,2,0,2,1,1,4,1,2,1
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,1,0,0
266,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
267,1,2,0,2,3,1,2,2,3,3,1,5,2,2,2,0,3,1,0,1,3
268,2,5,5,8,1,6,10,4,8,6,3,1,3,5,4,7,3,7,5,6,6
269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
270,5,0,4,5,0,3,0,5,4,4,5,2,4,4,1,3,4,1,4,1,3
271,0,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,1
272,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0
273,4,7,3,1,1,6,5,7,1,5,9,7,5,7,4,2,8,5,2,2,8
274,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
278,1,1,1,4,0,3,1,1,2,5,1,0,1,4,2,2,2,3,3,1,0
279,3,1,3,0,2,5,5,6,5,2,2,4,7,5,1,7,2,2,4,7,1
280,3,2,2,2,6,2,2,2,1,1,3,3,2,1,3,0,2,2,0,0,1
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
283,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
284,3,3,1,3,6,1,3,2,3,4,1,1,6,0,5,2,5,1,0,2,2
285,2,5,5,8,1,6,10,4,8,6,3,1,3,5,4,7,3,7,5,6,6
286,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,71,66,57,62,65,66,58,53,71,50,60,54,54,73,69,68
288,1,2,0,0,1,0,1,1,0,0,2,1,0,2,0,4,4,2,3,3,1
289,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,2,0,0,0
290,2,1,0,1,3,1,3,0,2,2,1,1,2,3,3,1,2,0,4,1,1
291,4,4,8,3,5,2,4,1,1,1,4,4,3,6,3,6,7,5,4,5,5
292,0,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,1
293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,2,1,1,1,3,1,0,1,1,0,3,2,0,0,1,1,2,1,0,1,0
297,3,0,1,2,0,1,1,0,2,2,0,2,2,0,0,2,3,3,2,0,0
298,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1,1,2,1,1,0
299,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,4,0,1,4,2,1,4,1,3,2,3,2,2,0,0,3,5,7,3,1,0
302,2,2,1,1,3,2,3,3,1,0,1,1,0,0,1,2,5,2,0,2,0
303,10,8,4,4,3,9,9,11,4,9,10,9,11,8,11,7,11,11,3,8,10
304,2,1,2,2,1,1,2,1,0,3,3,1,0,3,2,1,1,1,1,4,2
305,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0
306,0,1,0,0,2,2,2,3,0,1,1,2,3,1,0,2,1,0,3,0,0
307,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1
308,64,58,45,70,65,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1
309,3,5,4,3,3,5,6,3,7,1,4,3,4,6,5,7,4,4,4,2,8
310,1,0,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,2,1,1,0
311,1,0,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
312,5,8,6,6,3,5,4,9,0,2,4,4,8,9,4,2,3,6,5,4,5
313,0,0,2,1,0,5,2,0,2,3,1,0,1,1,0,2,1,1,0,2,1
314,0,0,0,3,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0
